Dose(Gy),f1,f2,f3,S(mean),SE
0.83,0.496,0.445,0.355,0.432,0.058292367
1.63,0.244,0.179,0.191,0.204666667,0.028241026
2.45,0.122,0.058,0.098,0.092666667,0.026398653
3.23,0.033,0.0157,0.042,0.030233333,0.010913702
4.16,0.012,0.0049,0.015,0.010633333,0.004235039

Dose(Gy),f1,f2,f3,S(mean),SE
0.83,0.64,0.396,0.447,0.494333333,0.105085151
1.63,0.27,0.204,0.263,0.245666667,0.029601051
2.45,0.1,0.069,0.138,0.102333333,0.02821741
3.23,0.04,0.0234,0.083,0.0488,0.02511467
4.16,0.016,0.005,0.025,0.015333333,0.008178563

Dose(Gy),F2725,F2828,F2731,F2747,S(mean),SE
0,1,1,1,1,1,0
0.83,,0.845,0.68,0.872,0.7625,0.0825
1.63,0.722,0.62,0.45,0.774,0.597333333,0.112194276
2.45,,0.42,0.396,0.542,0.408,0.012
3.23,0.267,0.26,0.308,0.417,0.278333333,0.021171259
4.85,0.095,0.121,0.14,0.195,0.118666667,0.018445114
6.45,0.0274,0.042,0.015,0.044,0.028133333,0.011034894
8.55,0.003,0.0042,0.0005,0.0034,0.002566667,0.001541284

Dose(Gy),F2725,F2829,F2732,F2743,S(mean),SE
0,1,1,1,1,1,0
0.83,0.833,0.76,0.48,0.63,0.691,0.152146859
1.63,,0.52,0.81,0.32,0.665,0.145
2.45,0.328,0.224,0.42,0.1,0.324,0.080066639
4.16,0.077,0.074,0.112,0.018,0.087666667,0.017249799
4.85,0.0281,0.062,0.074,0.0072,0.0547,0.019436563
6.45,0.0036,0.0034,0.0045,,0.003833333,0.000478423
7.5,,0.0011,0.0001,0.0006,0.0006,0.000408248

Dose(Gy),F2726,F2827,F2733,F2744,S(mean),SE
0,1,1,1,1,1,0
0.925,0.645,0.685,0.67,0.76,0.705,0.039370039
1.85,0.433,0.323,0.375,0.47,0.389333333,0.060862322
2.77,0.234,0.163,0.152,0.24,0.185,0.039149287
4.62,0.049,0.024,0.035,0.055,0.038,0.012832251
6.47,0.007,0.0027,0.0068,0.005,0.004833333,0.001677962
8.31,0.00057,0.00009,0.0014,0.00005,0.000513333,0.000627181

Dose(Gy),F3869,F3870,S(mean),SE
0,1,1,1,0
3,0.78,0.76,0.77,0.01
6,0.5,0.4,0.45,0.05
10,0.21,0.17,0.19,0.02
14,0.055,0.06,0.0575,0.0025
18,0.016,0.023,0.0195,0.0035
22,0.0019,0.00475,0.003325,0.001425

Dose(Gy);F3797;F3799;F3804;F3848;F3852;S(mean);SE
0;1;1;1;1;1;1;0
3;0.61;0.6;;;;0.605;0.005
6;0.46;0.48;;0.5;0.54;0.495;0.029580399
10;0.23;0.27;0.15;;;0.216666667;0.049888765
14;;0.13;0.13;0.14;0.16;0.14;0.012247449
18;;0.061;0.026;0.073;;0.0435;0.017784737
22;;;0.0086;0.027;;0.0178;0.0092
25;;;0.0019;;;0.0019;0
27;;;0.00061;0.0038;;0.002205;0.001302312

Dose(Gy);F3797;F3799;F3804;F3848;S(mean);SE
0;1;1;1;1;1;0
3;0.68;0.69;0.76;0.78;0.7275;0.043229041
6;0.37;0.51;0.37;0.44;0.4225;0.058040934
10;0.18;0.22;0.18;0.15;0.1825;0.024874686
14;0.099;0.064;0.068;0.042;0.06825;0.020327014
18;0.013;0.0073;0.0105;0.011;0.01045;0.002045116
22;;0.0005;;0.0015;0.001;0.0005

Dose(Gy);F3823;F3824;S(mean);SE
0;1;1;1;0
1;0.68;0.69;0.685;0.005
3;0.37;0.51;0.44;0.07
6;0.18;0.22;0.2;0.02
10;0.099;0.064;0.0815;0.0175

Dose(Gy);F3839;F3840;F3842;S(mean);SE
0;1;1;1;1;0
5.53;0.59;0.56;0.61;0.586666667;0.020548047
12.92;0.15;0.13;0.12;0.133333333;0.012472191
16.61;0.078;0.025;0.026;0.043;0.024752104
20.3;0.02;0.0051;0.0067;0.0106;0.006678822
23.07;0.0047;0.0016;0.00085;0.002383333;0.0016665
24.92;0.0019;0.00091;0.0004;0.00107;0.000622736
