SF;Dose (Gy);Cellcycle;Hypoxia;SE;SF (mean)
1;0;G1;Yes;0;1
0.54;6;G1;Yes;0.029580399;0.495
0.16;14;G1;Yes;0.012247449;0.14
1;0;S;Yes;0;1
0.68;3;S;Yes;0.043229041;0.7275
0.37;6;S;Yes;0.058040934;0.4225
0.18;10;S;Yes;0.024874686;0.1825
0.099;14;S;Yes;0.020327014;0.06825
0.013;18;S;Yes;0.002045116;0.01045
1;0;S;Yes;0;1
0.69;3;S;Yes;0.043229041;0.7275
0.51;6;S;Yes;0.058040934;0.4225
0.22;10;S;Yes;0.024874686;0.1825
0.064;14;S;Yes;0.020327014;0.06825
0.0073;18;S;Yes;0.002045116;0.01045
0.0005;22;S;Yes;0.0005;0.001
1;0;S;Yes;0;1
0.76;3;S;Yes;0.043229041;0.7275
0.37;6;S;Yes;0.058040934;0.4225
0.18;10;S;Yes;0.024874686;0.1825
0.068;14;S;Yes;0.020327014;0.06825
0.0105;18;S;Yes;0.002045116;0.01045
1;0;S;Yes;0;1
0.78;3;S;Yes;0.043229041;0.7275
0.44;6;S;Yes;0.058040934;0.4225
0.15;10;S;Yes;0.024874686;0.1825
0.042;14;S;Yes;0.020327014;0.06825
0.011;18;S;Yes;0.002045116;0.01045
0.0015;22;S;Yes;0.0005;0.001
1;0;M;Yes;0;1
0.68;1;M;Yes;0.005;0.685
0.37;3;M;Yes;0.07;0.44
0.18;6;M;Yes;0.02;0.2
0.099;10;M;Yes;0.0175;0.0815
1;0;M;Yes;0;1
0.69;1;M;Yes;0.005;0.685
0.51;3;M;Yes;0.07;0.44
0.22;6;M;Yes;0.02;0.2
0.064;10;M;Yes;0.0175;0.0815
1;0;Asynch;Yes;0;1
0.59;5.53;Asynch;Yes;0.020548047;0.586666667
0.15;12.92;Asynch;Yes;0.012472191;0.133333333
0.078;16.61;Asynch;Yes;0.024752104;0.043
0.02;20.3;Asynch;Yes;0.006678822;0.0106
0.0047;23.07;Asynch;Yes;0.0016665;0.002383333
0.0019;24.92;Asynch;Yes;0.000622736;0.00107
1;0;Asynch;Yes;0;1
0.56;5.53;Asynch;Yes;0.020548047;0.586666667
0.13;12.92;Asynch;Yes;0.012472191;0.133333333
0.025;16.61;Asynch;Yes;0.024752104;0.043
0.0051;20.3;Asynch;Yes;0.006678822;0.0106
0.0016;23.07;Asynch;Yes;0.0016665;0.002383333
0.00091;24.92;Asynch;Yes;0.000622736;0.00107
1;0;Asynch;Yes;0;1
0.61;5.53;Asynch;Yes;0.020548047;0.586666667
0.12;12.92;Asynch;Yes;0.012472191;0.133333333
0.026;16.61;Asynch;Yes;0.024752104;0.043
0.0067;20.3;Asynch;Yes;0.006678822;0.0106
0.00085;23.07;Asynch;Yes;0.0016665;0.002383333
0.0004;24.92;Asynch;Yes;0.000622736;0.00107
